sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x1D,348587,2.354,-10.356,0.941,
Sensor_0x1D,348588,2.118,-10.591,0.471,
Sensor_0x1D,348589,2.432,-10.67,0.706,
Sensor_0x1D,348590,2.354,-10.591,0.863,
Sensor_0x1D,348591,2.275,-10.827,0.549,
Sensor_0x1D,348592,2.432,-10.591,0.785,
Sensor_0x1D,348593,2.354,-10.67,0.628,
Sensor_0x1D,348594,2.432,-10.513,0.863,
Sensor_0x1D,348595,2.746,-10.356,0.706,
Sensor_0x1D,348596,2.275,-10.67,0.628,
Sensor_0x1D,348597,2.197,-10.591,0.392,
Sensor_0x1D,348598,2.197,-10.591,0.706,
Sensor_0x1D,348599,2.432,-10.67,1.177,
Sensor_0x1D,348600,2.197,-10.748,0.863,
Sensor_0x1D,348602,2.354,-10.748,0.706,
Sensor_0x1D,348603,2.511,-10.67,0.471,
Sensor_0x1D,348604,2.275,-10.434,0.549,
Sensor_0x1D,348605,2.118,-10.199,1.098,
Sensor_0x1D,348606,2.197,-10.67,0.706,
