sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x1D,36477040,1.804,-10.827,1.412,
Sensor_0x1D,36478137,2.197,-10.905,1.334,
Sensor_0x1D,36479201,2.511,-10.67,1.648,
Sensor_0x1D,36480249,2.511,-11.219,1.334,
Sensor_0x1D,36481293,2.197,-10.748,1.255,
Sensor_0x1D,36482342,2.354,-10.513,0.941,
Sensor_0x1D,36483386,1.883,-10.748,1.334,
Sensor_0x1D,36484433,1.961,-10.277,1.491,
Sensor_0x1D,36485473,1.961,-10.67,1.255,
Sensor_0x1D,36486516,2.118,-10.748,1.412,
Sensor_0x1D,36487561,2.118,-10.434,1.255,
Sensor_0x1D,36488609,1.648,-10.748,1.334,
Sensor_0x1D,36489654,2.04,-10.67,1.804,
Sensor_0x1D,36490700,2.197,-11.062,1.491,
Sensor_0x1D,36491745,2.04,-10.67,1.491,
Sensor_0x1D,36492798,2.432,-10.748,1.334,
Sensor_0x1D,36493847,2.04,-10.748,1.491,
Sensor_0x1D,36494894,2.275,-10.827,1.255,
Sensor_0x1D,36495939,2.197,-10.434,1.491,
Sensor_0x1D,36496986,1.569,-10.591,1.491,
Sensor_0x1D,36498031,2.118,-10.67,1.569,
Sensor_0x1D,36499119,2.118,-10.591,1.569,
Sensor_0x1D,36500165,2.04,-10.513,1.334,
Sensor_0x1D,36501212,2.04,-10.513,1.961,
Sensor_0x1D,36502259,2.511,-11.062,1.177,
Sensor_0x1D,36503310,1.961,-10.513,1.491,
Sensor_0x1D,36504358,2.275,-10.827,1.412,
Sensor_0x1D,36505407,2.197,-10.513,1.491,
Sensor_0x1D,36506452,2.197,-10.67,1.491,
Sensor_0x1D,36507496,2.354,-10.591,1.255,
Sensor_0x1D,36508542,2.197,-10.434,1.177,
Sensor_0x1D,36509590,2.118,-10.67,1.804,
Sensor_0x1D,36510638,2.354,-10.827,1.334,
Sensor_0x1D,36511685,2.197,-10.67,1.334,
Sensor_0x1D,36512730,2.197,-10.67,1.569,
Sensor_0x1D,36513777,2.04,-10.67,1.334,
Sensor_0x1D,36514829,2.118,-10.591,1.491,
Sensor_0x1D,36515876,2.275,-10.591,0.941,
Sensor_0x1D,36516922,2.197,-10.591,1.255,
Sensor_0x1D,36517968,2.197,-10.434,1.334,
Sensor_0x1D,36519014,1.883,-10.905,1.177,
Sensor_0x1D,36520061,2.118,-10.67,1.177,
Sensor_0x1D,36521117,2.589,-10.434,1.569,
Sensor_0x1D,36522165,2.04,-10.591,1.961,
Sensor_0x1D,36523211,2.197,-10.591,1.491,
Sensor_0x1D,36524258,2.197,-10.277,0.941,
Sensor_0x1D,36525304,1.961,-10.67,1.569,
Sensor_0x1D,36526353,2.432,-10.905,1.726,
Sensor_0x1D,36527400,2.354,-10.67,1.255,
Sensor_0x1D,36528447,1.883,-10.748,1.255,
Sensor_0x1D,36529488,2.197,-10.591,1.412,
Sensor_0x1D,36530536,2.04,-11.14,1.098,
Sensor_0x1D,36531582,2.04,-10.748,1.412,
Sensor_0x1D,36532633,2.432,-10.67,1.177,
Sensor_0x1D,36533679,1.804,-10.67,1.334,
Sensor_0x1D,36534728,1.961,-10.12,1.648,
Sensor_0x1D,36535773,2.04,-10.748,1.334,
Sensor_0x1D,36536826,2.197,-10.591,1.255,
Sensor_0x1D,36537872,2.432,-10.513,1.491,
Sensor_0x1D,36538919,2.197,-10.983,1.098,
Sensor_0x1D,36539965,1.961,-10.67,1.255,
Sensor_0x1D,36541011,2.197,-10.67,1.255,
Sensor_0x1D,36542057,1.804,-10.67,1.491,
Sensor_0x1D,36543114,2.118,-10.434,1.491,
Sensor_0x1D,36544160,1.961,-10.827,1.255,
Sensor_0x1D,36545207,2.04,-10.67,1.491,
Sensor_0x1D,36546253,2.354,-10.748,1.648,
Sensor_0x1D,36547302,2.04,-11.062,1.098,
Sensor_0x1D,36548351,2.197,-10.67,1.334,
Sensor_0x1D,36549400,2.275,-10.591,1.098,
Sensor_0x1D,36550446,2.197,-11.14,1.098,
Sensor_0x1D,36551489,2.118,-10.277,1.648,
Sensor_0x1D,36552536,1.726,-10.748,1.569,
Sensor_0x1D,36553583,1.883,-10.67,1.491,
Sensor_0x1D,36554632,2.118,-10.591,1.412,
Sensor_0x1D,36555680,2.118,-10.983,1.334,
Sensor_0x1D,36556727,1.961,-10.67,1.491,
Sensor_0x1D,36557772,2.354,-10.591,1.334,
Sensor_0x1D,36558823,1.883,-10.748,1.491,
Sensor_0x1D,36559871,1.883,-10.277,1.569,
