sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x1D,78044601,-0.113,0.022,0.561,
Sensor_0x53,78044601,0.541,0.139,-0.418,
Sensor_0x53,78045727,-0.165,0.374,0.21,
Sensor_0x1D,78046246,0.044,0.1,0.09,
Sensor_0x53,78046814,-0.322,-0.097,0.053,
Sensor_0x1D,78047602,-0.035,0.1,-0.067,
Sensor_0x53,78047846,-0.087,0.06,-0.025,
Sensor_0x1D,78048854,0.436,-0.292,-0.067,
Sensor_0x53,78048885,0.305,0.139,-0.496,
Sensor_0x53,78049919,0.07,0.374,0.21,
Sensor_0x1D,78050026,-0.113,0.022,-0.067,
Sensor_0x53,78050960,-0.401,-0.018,-0.104,
Sensor_0x1D,78051231,0.044,0.179,-0.067,
Sensor_0x53,78051994,-0.008,0.06,-0.025,
Sensor_0x1D,78052369,-0.191,-0.056,-0.067,
Sensor_0x53,78053067,-0.322,-0.175,-0.025,
Sensor_0x1D,78053547,0.044,-0.135,0.169,
Sensor_0x53,78054098,-0.087,0.531,0.288,
Sensor_0x1D,78054693,0.044,0.022,-0.067,
Sensor_0x53,78055169,-0.479,-0.175,-0.025,
Sensor_0x1D,78055844,-0.113,0.1,-0.067,
Sensor_0x53,78056207,0.227,0.295,0.21,
Sensor_0x1D,78057009,-0.191,-0.135,-0.067,
Sensor_0x53,78057250,-0.165,-0.097,-0.025,
Sensor_0x1D,78058207,-0.113,0.022,0.247,
Sensor_0x53,78058282,0.384,0.217,0.288,
Sensor_0x53,78059356,-0.322,-0.254,0.21,
Sensor_0x1D,78059390,-0.113,0.022,-0.067,
Sensor_0x53,78060389,0.305,0.06,-0.025,
Sensor_0x1D,78060597,-0.113,-0.135,0.012,
Sensor_0x53,78061428,-0.087,-0.097,-0.025,
Sensor_0x1D,78061764,-0.035,0.022,0.482,
Sensor_0x53,78062468,0.148,-0.175,-0.025,
Sensor_0x1D,78062933,0.044,0.022,-0.067,
Sensor_0x53,78063513,-0.008,-0.097,-0.025,
Sensor_0x1D,78064081,-0.035,-0.135,0.169,
Sensor_0x53,78064545,-0.008,-0.175,-0.025,
Sensor_0x1D,78065245,-0.113,0.022,0.012,
Sensor_0x53,78065617,-0.165,-0.175,-0.025,
Sensor_0x1D,78066433,-0.113,0.257,0.404,
Sensor_0x53,78066647,-0.087,-0.097,0.053,
Sensor_0x1D,78067640,-0.035,0.1,-0.067,
Sensor_0x53,78067684,0.07,0.06,0.288,
Sensor_0x53,78068720,-0.008,-0.332,-0.182,
Sensor_0x1D,78068787,-0.113,0.1,-0.067,
Sensor_0x53,78069761,0.462,0.139,0.131,
Sensor_0x1D,78069940,-0.191,0.022,0.012,
Sensor_0x53,78070794,-0.401,-0.175,-0.104,
Sensor_0x1D,78071104,-0.113,0.1,0.247,
Sensor_0x53,78071866,0.227,0.139,0.367,
Sensor_0x1D,78072281,-0.035,-0.135,0.169,
Sensor_0x53,78072899,-0.322,-0.254,0.053,
Sensor_0x1D,78073431,-0.113,0.1,-0.145,
Sensor_0x53,78073938,0.227,0.295,0.131,
Sensor_0x1D,78074618,0.201,0.1,-0.067,
Sensor_0x53,78074978,-0.008,-0.175,0.053,
Sensor_0x1D,78075771,0.044,-0.213,-0.145,
Sensor_0x53,78076015,0.07,-0.332,-0.339,
