sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x53,17849,4.205,159.519,41.412,
Sensor_0x53,17882,-0.115,-1.071,-0.088,
Sensor_0x53,17918,-0.425,-1.231,-0.488,
Sensor_0x53,17952,-0.665,-1.231,-0.408,
Sensor_0x53,17987,-0.505,-1.071,-0.558,
Sensor_0x53,18022,-0.585,-1.231,-0.408,
Sensor_0x53,18057,-0.505,-1.231,-0.008,
Sensor_0x53,18091,-0.505,-1.231,-0.408,
Sensor_0x53,18127,-0.745,-1.231,-0.088,
Sensor_0x53,18161,-0.505,-1.231,-0.558,
Sensor_0x53,18197,-0.505,-1.381,-0.558,
Sensor_0x53,18231,-0.505,-1.071,-0.408,
Sensor_0x53,18267,-0.345,-1.621,-0.408,
Sensor_0x53,18301,-0.505,-1.231,-0.328,
Sensor_0x53,18337,-0.265,-1.071,-0.638,
Sensor_0x53,18371,-0.265,-1.071,-0.408,
Sensor_0x53,18407,-0.815,-1.231,-0.408,
Sensor_0x53,18441,-0.505,-1.311,-0.408,
Sensor_0x53,18476,-0.665,-1.381,-0.408,
Sensor_0x53,18510,-0.505,-0.831,-0.328,
Sensor_0x53,18546,-0.345,-1.071,-0.328,
Sensor_0x53,18580,-0.505,-1.071,-0.088,
Sensor_0x53,18616,-0.505,-1.151,-0.248,
Sensor_0x53,18650,-0.505,-1.311,-0.408,
Sensor_0x53,18686,-0.505,-1.381,-0.008,
Sensor_0x53,18720,-0.505,-1.071,-0.408,
Sensor_0x53,18756,-0.505,-1.381,-0.088,
Sensor_0x53,18790,-0.265,-1.071,-0.328,
Sensor_0x53,18826,-0.505,-0.911,-0.088,
Sensor_0x53,18860,-0.425,-1.071,-0.638,
Sensor_0x53,18896,-0.345,-1.381,-0.408,
Sensor_0x53,18930,-0.505,-1.151,-0.328,
Sensor_0x53,18964,-0.505,-1.071,-0.488,
Sensor_0x53,19000,-0.505,-1.311,-0.168,
Sensor_0x53,19034,-0.505,-1.231,-0.168,
Sensor_0x53,19070,-0.505,-1.071,-0.638,
Sensor_0x53,19104,-0.505,-1.071,-0.168,
Sensor_0x53,19140,-0.665,-1.071,-0.328,
Sensor_0x53,19174,-0.505,-1.071,-0.638,
Sensor_0x53,19209,-0.505,-1.461,0.142,
Sensor_0x53,19244,-0.505,-1.071,-0.168,
Sensor_0x53,19279,-0.425,-1.071,-0.328,
Sensor_0x53,19313,-0.505,-1.231,-0.328,
Sensor_0x53,19349,-0.115,-1.071,-0.328,
Sensor_0x53,19385,-0.975,-1.381,-0.408,
Sensor_0x53,19419,-0.665,-1.311,-0.328,
Sensor_0x53,19453,-0.505,-1.381,-0.638,
Sensor_0x53,19488,-0.505,-1.311,-0.408,
Sensor_0x53,19523,-0.505,-1.311,-0.088,
Sensor_0x53,19558,-0.505,-1.071,-0.328,
Sensor_0x53,19593,-0.505,-1.311,-0.248,
Sensor_0x53,19628,-0.425,-1.151,-0.168,
Sensor_0x53,19663,-0.505,-1.071,-0.408,
Sensor_0x53,19697,-0.505,-1.231,-0.488,
Sensor_0x53,19733,-0.505,-1.071,-0.488,
Sensor_0x53,19767,-0.585,-1.071,-0.168,
Sensor_0x53,19802,-0.505,-1.381,-0.558,
Sensor_0x53,19838,-0.815,-1.381,-0.638,
Sensor_0x53,19872,-0.345,-1.071,-0.328,
Sensor_0x53,19906,-0.505,-1.231,-0.328,
Sensor_0x53,19942,-0.505,-1.381,-0.488,
Sensor_0x53,19976,-0.505,-1.071,-0.488,
Sensor_0x53,20012,-0.195,-1.071,-0.088,
Sensor_0x53,20046,-0.505,-1.311,-0.558,
Sensor_0x53,20082,-3.325,-1.931,-10.208,
Sensor_0x53,20115,-3.645,1.909,6.812,
Sensor_0x53,20151,-3.095,-3.111,-0.248,
Sensor_0x53,20185,-1.445,4.579,0.302,
Sensor_0x53,20219,7.965,1.439,2.812,
Sensor_0x53,20253,0.435,-1.931,1.792,
Sensor_0x53,20288,-0.195,-2.481,-2.518,
Sensor_0x53,20322,-0.345,1.439,1.952,
Sensor_0x53,20357,-0.745,-1.701,-0.248,
Sensor_0x53,20392,-1.135,-2.721,1.482,
Sensor_0x53,20425,10.085,10.699,-8.018,
Sensor_0x53,20460,7.575,-2.251,4.302,
Sensor_0x53,20493,-3.015,-4.131,-10.128,
Sensor_0x53,20527,-1.285,-0.291,7.362,
Sensor_0x53,20563,-0.895,1.439,0.532,
Sensor_0x53,20596,-0.425,0.889,-6.918,
Sensor_0x53,20632,1.615,-2.951,6.502,
Sensor_0x53,20666,-0.265,-2.251,-4.798,
Sensor_0x53,20699,-0.505,-3.821,0.222,
Sensor_0x53,20735,0.985,-3.741,4.302,
Sensor_0x53,20769,-1.765,-5.461,-6.678,
Sensor_0x53,20803,1.775,-10.171,-4.958,
Sensor_0x53,20838,1.695,-5.621,-0.958,
Sensor_0x53,20871,11.965,22.699,10.342,
Sensor_0x53,20905,-5.605,-24.371,0.302,
Sensor_0x53,20938,7.025,-13.071,-20.568,
Sensor_0x53,20974,2.865,-4.841,12.462,
Sensor_0x53,21008,-4.275,-5.781,-6.838,
Sensor_0x53,21042,-0.895,-4.131,2.502,
Sensor_0x53,21078,3.265,-0.761,7.602,
Sensor_0x53,21112,-0.345,-4.841,-13.978,
Sensor_0x53,21145,1.145,-2.721,9.402,
Sensor_0x53,21181,0.205,-3.421,0.852,
Sensor_0x53,21215,-0.665,-4.131,-9.348,
Sensor_0x53,21249,3.495,-2.641,11.752,
Sensor_0x53,21284,-1.215,-3.971,-6.678,
Sensor_0x53,21318,-0.195,-2.951,-1.268,
Sensor_0x53,21352,2.245,-2.481,9.092,
Sensor_0x53,21387,-1.135,-3.581,-10.608,
Sensor_0x53,21421,0.985,-2.641,5.242,
Sensor_0x53,21455,0.675,-2.561,2.422,
Sensor_0x53,21490,-0.815,-3.501,-8.328,
Sensor_0x53,21524,2.005,-2.251,8.142,
Sensor_0x53,21558,-0.505,-3.031,-5.038,
Sensor_0x53,21593,-0.035,-2.951,-1.348,
Sensor_0x53,21627,1.695,-2.171,6.652,
Sensor_0x53,21661,-0.505,-3.501,-8.098,
Sensor_0x53,21696,1.535,-2.561,4.462,
Sensor_0x53,21731,0.515,-3.111,0.852,
Sensor_0x53,21764,-0.505,-2.951,-5.978,
Sensor_0x53,21800,2.005,-1.781,6.652,
Sensor_0x53,21834,0.205,-2.251,-3.618,
Sensor_0x53,21869,0.355,-3.031,-0.558,
Sensor_0x53,21903,0.985,-1.621,3.592,
Sensor_0x53,21937,-0.975,-0.831,-5.658,
Sensor_0x53,21972,-3.645,-9.621,5.092,
Sensor_0x53,22006,1.775,3.869,1.952,
Sensor_0x53,22040,-1.365,-3.581,-6.208,
Sensor_0x53,22075,2.085,5.909,4.932,
Sensor_0x53,22110,-0.505,-0.131,-1.498,
Sensor_0x53,22145,-0.505,-4.371,-3.148,
Sensor_0x53,22179,1.615,-3.741,8.142,
Sensor_0x53,22214,0.125,-3.581,-7.388,
Sensor_0x53,22248,-0.195,-6.091,0.772,
Sensor_0x53,22282,0.595,-2.561,2.032,
Sensor_0x53,22317,-0.195,-3.351,-4.488,
Sensor_0x53,22351,1.065,-3.661,3.362,
Sensor_0x53,22386,0.755,-5.151,-0.638,
Sensor_0x53,22419,1.065,-3.501,-0.718,
Sensor_0x53,22455,1.375,-4.911,2.972,
Sensor_0x53,22489,0.435,-2.011,-0.488,
Sensor_0x53,22525,0.825,-0.441,2.652,
Sensor_0x53,22559,3.185,1.279,-2.598,
Sensor_0x53,22594,1.295,0.189,0.852,
Sensor_0x53,22628,-1.685,-1.931,-1.738,
Sensor_0x53,22662,0.205,-1.851,0.462,
Sensor_0x53,22698,2.795,-4.601,2.422,
Sensor_0x53,22732,-1.835,-1.621,-3.148,
Sensor_0x53,22766,4.205,7.479,-0.328,
Sensor_0x53,22801,-0.265,3.639,1.322,
Sensor_0x53,22835,-0.505,-1.541,-2.448,
Sensor_0x53,22869,0.905,-1.701,2.182,
Sensor_0x53,22905,0.355,-5.781,-3.858,
Sensor_0x53,22940,0.435,0.729,0.302,
Sensor_0x53,22974,1.775,-1.071,3.202,
Sensor_0x53,23008,0.355,-3.191,-3.698,
Sensor_0x53,23043,1.065,-1.851,1.792,
Sensor_0x53,23078,0.985,-2.091,0.612,
Sensor_0x53,23113,0.125,-2.481,-3.228,
Sensor_0x53,23147,1.695,-1.701,3.522,
Sensor_0x53,23181,1.145,-1.851,-1.028,
Sensor_0x53,23216,1.455,0.109,-0.638,
Sensor_0x53,23250,1.845,-2.481,1.402,
Sensor_0x53,23286,0.515,-2.331,-0.798,
Sensor_0x53,23320,0.435,-3.031,-0.638,
Sensor_0x53,23354,0.985,-0.831,-0.088,
Sensor_0x53,23389,1.295,-1.621,0.532,
Sensor_0x53,23424,1.225,-1.931,-0.168,
Sensor_0x53,23458,1.145,-2.641,-0.248,
Sensor_0x53,23493,1.455,-1.701,1.552,
Sensor_0x53,23527,1.455,-1.701,-0.958,
Sensor_0x53,23561,1.375,-2.721,0.302,
Sensor_0x53,23597,1.615,-1.621,0.062,
Sensor_0x53,23631,0.755,-2.871,-1.738,
Sensor_0x53,23666,1.375,-1.621,0.302,
Sensor_0x53,23700,1.695,-2.331,0.692,
Sensor_0x53,23736,1.145,-2.091,-1.428,
Sensor_0x53,23770,1.775,-2.331,1.552,
Sensor_0x53,23804,1.615,-1.781,-0.248,
Sensor_0x53,23839,1.295,-2.251,-0.638,
Sensor_0x53,23873,1.775,-1.781,1.242,
Sensor_0x53,23908,0.985,-2.641,-1.578,
Sensor_0x53,23941,1.775,-1.461,-0.638,
Sensor_0x53,23977,1.845,-2.011,0.692,
Sensor_0x53,24011,1.295,-2.401,-1.658,
Sensor_0x53,24046,1.845,-2.011,0.852,
Sensor_0x53,24080,1.535,-1.621,0.302,
Sensor_0x53,24114,1.225,-1.701,-1.268,
Sensor_0x53,24148,1.695,-1.781,1.552,
Sensor_0x53,24184,1.225,-2.561,-0.958,
Sensor_0x53,24218,1.455,-1.851,-0.248,
Sensor_0x53,24253,2.005,-1.621,0.852,
Sensor_0x53,24287,0.755,-2.091,-1.578,
Sensor_0x53,24321,1.455,-2.011,-0.408,
Sensor_0x53,24355,1.925,-1.541,0.532,
Sensor_0x53,24390,0.985,-1.851,-1.028,
Sensor_0x53,24424,1.925,-1.701,-0.008,
Sensor_0x53,24459,1.225,-1.621,0.222,
Sensor_0x53,24493,1.455,-1.851,-0.558,
Sensor_0x53,24528,2.245,-1.701,0.462,
Sensor_0x53,24563,1.535,-1.851,-0.488,
Sensor_0x53,24598,1.375,-2.331,-0.638,
Sensor_0x53,24632,1.375,-1.851,0.302,
Sensor_0x53,24667,1.695,-1.931,-0.168,
Sensor_0x53,24701,1.845,-1.541,-0.248,
Sensor_0x53,24736,1.615,-2.091,-0.248,
Sensor_0x53,24770,1.065,-2.091,-0.878,
Sensor_0x53,24806,1.695,-1.851,0.612,
Sensor_0x53,24840,1.845,-1.781,-0.088,
Sensor_0x53,24874,1.925,-1.621,-0.638,
Sensor_0x53,24910,1.845,-1.381,0.612,
Sensor_0x53,24944,1.375,-1.931,-0.958,
Sensor_0x53,24978,1.695,-1.931,-0.088,
Sensor_0x53,25012,1.615,-2.091,-0.408,
Sensor_0x53,25046,1.925,-1.701,-0.638,
Sensor_0x53,25082,2.085,-1.621,0.772,
Sensor_0x53,25116,1.375,-2.171,-1.108,
Sensor_0x53,25151,1.695,-1.851,0.142,
Sensor_0x53,25185,1.925,-1.781,0.692,
Sensor_0x53,25219,1.695,-1.311,-1.028,
Sensor_0x53,25255,1.925,-1.621,0.462,
Sensor_0x53,25289,1.295,-2.171,-0.638,
Sensor_0x53,25324,1.375,-1.461,-1.108,
Sensor_0x53,25358,2.245,-1.781,1.402,
Sensor_0x53,25392,1.535,-1.701,-1.578,
Sensor_0x53,25427,1.925,-1.851,-0.008,
Sensor_0x53,25462,1.695,-1.851,0.692,
Sensor_0x53,25496,1.535,-2.091,-1.498,
Sensor_0x53,25531,1.615,-2.091,0.302,
Sensor_0x53,25565,1.615,-2.251,-0.168,
Sensor_0x53,25599,1.615,-1.781,-0.638,
Sensor_0x53,25635,1.925,-1.461,0.462,
Sensor_0x53,25669,1.375,-1.931,-0.558,
Sensor_0x53,25703,1.695,-1.621,-0.168,
Sensor_0x53,25737,1.695,-1.701,0.462,
Sensor_0x53,25773,1.455,-1.931,-0.558,
Sensor_0x53,25807,1.455,-2.091,-0.168,
Sensor_0x53,25841,2.005,-1.701,0.062,
Sensor_0x53,25877,1.535,-1.541,-0.168,
Sensor_0x53,25911,1.695,-1.851,0.302,
Sensor_0x53,25945,1.375,-1.701,-0.088,
Sensor_0x53,25979,1.695,-1.621,-0.638,
Sensor_0x53,26015,2.005,-1.701,0.302,
Sensor_0x53,26049,1.925,-1.781,-0.008,
Sensor_0x53,26083,1.615,-1.851,-0.328,
Sensor_0x53,26119,1.695,-2.011,0.062,
Sensor_0x53,26153,1.925,-1.701,-0.488,
Sensor_0x53,26187,1.375,-2.091,-0.088,
